

;;;main2.title;ConsultaCursoUC

#
#    Use cases messages
#
ConsultaCursoUC;;Ajuda;consulta.curso.uc.online.help;No use-case documentation has been specified<br/>
ConsultaCursoUC;;Titulo;consulta.curso.uc.title;Consulta Curso UC
ConsultaCursoUC;PreenchaCampos;Ajuda;consulta.curso.uc.preencha.campos.consulta.curso.online.help;
ConsultaCursoUC;PreenchaCampos;Documentacao;consulta.curso.uc.preencha.campos.consulta.curso.documentation;
ConsultaCursoUC;PreenchaCampos;MessagePage;consulta.curso.uc.preencha.campos;Preencha Campos
ConsultaCursoUC;PreenchaCampos;NaoPermitidoTitulo;consulta.curso.uc.preencha.campos.consulta.curso.title.notallowed;You are not allowed to call this action
ConsultaCursoUC;PreenchaCampos;OnLineHelp;consulta.curso.uc.preencha.campos.online.help;<br/>
ConsultaCursoUC;PreenchaCampos;ParametroAjuda;consulta.curso.uc.preencha.campos.consulta.curso.param.codigo.online.help;Este campo é opcional.<br/>
ConsultaCursoUC;PreenchaCampos;ParametroAjuda;consulta.curso.uc.preencha.campos.consulta.curso.param.nome.online.help;Este campo é opcional.<br/>
ConsultaCursoUC;PreenchaCampos;ParametroMensagem;consulta.curso.uc.preencha.campos.consulta.curso.param.codigo;Codigo
ConsultaCursoUC;PreenchaCampos;ParametroMensagem;consulta.curso.uc.preencha.campos.consulta.curso.param.nome;Nome
ConsultaCursoUC;PreenchaCampos;ParametroTitulo;consulta.curso.uc.preencha.campos.consulta.curso.param.codigo.title;codigo
ConsultaCursoUC;PreenchaCampos;ParametroTitulo;consulta.curso.uc.preencha.campos.consulta.curso.param.nome.title;nome
ConsultaCursoUC;PreenchaCampos;ResetMensagem;consulta.curso.uc.preencha.campos.consulta.curso.title.reset.message;Reset
ConsultaCursoUC;PreenchaCampos;ResetNaoPermitidoTitulo;consulta.curso.uc.preencha.campos.consulta.curso.title.reset.not.allowed;You are not allowed to reset
ConsultaCursoUC;PreenchaCampos;ResetTitulo;consulta.curso.uc.preencha.campos.consulta.curso.title.reset;Reset
ConsultaCursoUC;PreenchaCampos;Titulo;consulta.curso.uc.preencha.campos.consulta.curso.title;Consulta Curso
ConsultaCursoUC;PreenchaCampos;Titulo;consulta.curso.uc.preencha.campos.title;Preencha Campos
ConsultaCursoUC;PreenchaCampos;ValorTrigger;consulta.curso.uc.preencha.campos.consulta.curso;Consulta Curso
ConsultaCursoUC;ResultadoConsulta;Ajuda;consulta.curso.uc.resultado.consulta.detalha.curso.online.help;
ConsultaCursoUC;ResultadoConsulta;Ajuda;consulta.curso.uc.resultado.consulta.nova.consulta.online.help;
ConsultaCursoUC;ResultadoConsulta;Documentacao;consulta.curso.uc.resultado.consulta.detalha.curso.documentation;
ConsultaCursoUC;ResultadoConsulta;Documentacao;consulta.curso.uc.resultado.consulta.nova.consulta.documentation;
ConsultaCursoUC;ResultadoConsulta;MessagePage;consulta.curso.uc.resultado.consulta;Resultado Consulta
ConsultaCursoUC;ResultadoConsulta;NaoPermitidoTitulo;consulta.curso.uc.resultado.consulta.detalha.curso.title.notallowed;You are not allowed to call this action
ConsultaCursoUC;ResultadoConsulta;NaoPermitidoTitulo;consulta.curso.uc.resultado.consulta.nova.consulta.title.notallowed;You are not allowed to call this action
ConsultaCursoUC;ResultadoConsulta;NomeColuna;consulta.curso.uc.resultado.consulta.param.cursos.codigo;Codigo
ConsultaCursoUC;ResultadoConsulta;NomeColuna;consulta.curso.uc.resultado.consulta.param.cursos.nome;Nome
ConsultaCursoUC;ResultadoConsulta;OnLineHelp;consulta.curso.uc.resultado.consulta.online.help;<br/>
ConsultaCursoUC;ResultadoConsulta;ParametroAjuda;consulta.curso.uc.resultado.consulta.detalha.curso.param.id.curso.online.help;Este campo é opcional.<br/>
ConsultaCursoUC;ResultadoConsulta;ParametroMensagem;consulta.curso.uc.resultado.consulta.detalha.curso.param.id.curso;Id Curso
ConsultaCursoUC;ResultadoConsulta;ParametroTitulo;consulta.curso.uc.resultado.consulta.detalha.curso.param.id.curso.title;idCurso
ConsultaCursoUC;ResultadoConsulta;ResetMensagem;consulta.curso.uc.resultado.consulta.detalha.curso.title.reset.message;Reset
ConsultaCursoUC;ResultadoConsulta;ResetMensagem;consulta.curso.uc.resultado.consulta.nova.consulta.title.reset.message;Reset
ConsultaCursoUC;ResultadoConsulta;ResetNaoPermitidoTitulo;consulta.curso.uc.resultado.consulta.detalha.curso.title.reset.not.allowed;You are not allowed to reset
ConsultaCursoUC;ResultadoConsulta;ResetNaoPermitidoTitulo;consulta.curso.uc.resultado.consulta.nova.consulta.title.reset.not.allowed;You are not allowed to reset
ConsultaCursoUC;ResultadoConsulta;ResetTitulo;consulta.curso.uc.resultado.consulta.detalha.curso.title.reset;Reset
ConsultaCursoUC;ResultadoConsulta;ResetTitulo;consulta.curso.uc.resultado.consulta.nova.consulta.title.reset;Reset
ConsultaCursoUC;ResultadoConsulta;Titulo;consulta.curso.uc.resultado.consulta.detalha.curso.title;Detalha Curso
ConsultaCursoUC;ResultadoConsulta;Titulo;consulta.curso.uc.resultado.consulta.nova.consulta.title;Nova Consulta
ConsultaCursoUC;ResultadoConsulta;Titulo;consulta.curso.uc.resultado.consulta.title;Resultado Consulta
ConsultaCursoUC;ResultadoConsulta;ValorTrigger;consulta.curso.uc.resultado.consulta.detalha.curso;Detalha Curso
ConsultaCursoUC;ResultadoConsulta;ValorTrigger;consulta.curso.uc.resultado.consulta.nova.consulta;Nova Consulta
ConsultaCursoUC;ResultadoConsulta;VariavelPagina;consulta.curso.uc.resultado.consulta.param.cursos;Cursos
ConsultaEstudanteUC;;Ajuda;consulta.estudante.uc.online.help;No use-case documentation has been specified<br/>
ConsultaEstudanteUC;;Titulo;consulta.estudante.uc.title;Consulta Estudante UC
ConsultaEstudanteUC;PreenchaCampos;Ajuda;consulta.estudante.uc.preencha.campos.consulta.estudante.online.help;
ConsultaEstudanteUC;PreenchaCampos;Documentacao;consulta.estudante.uc.preencha.campos.consulta.estudante.documentation;
ConsultaEstudanteUC;PreenchaCampos;MessagePage;consulta.estudante.uc.preencha.campos;Preencha Campos
ConsultaEstudanteUC;PreenchaCampos;NaoPermitidoTitulo;consulta.estudante.uc.preencha.campos.consulta.estudante.title.notallowed;You are not allowed to call this action
ConsultaEstudanteUC;PreenchaCampos;OnLineHelp;consulta.estudante.uc.preencha.campos.online.help;<br/>
ConsultaEstudanteUC;PreenchaCampos;ParametroAjuda;consulta.estudante.uc.preencha.campos.consulta.estudante.param.matricula.online.help;Este campo é opcional.<br/>
